"No.","Time","Source","Destination","Protocol","Length","Info"
"35","7.161452","172.31.19.54","172.31.19.73","SNMP","92","get-request 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14150900"
"36","7.164223","172.31.19.73","172.31.19.54","SNMP","93","get-response 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14150900"
"37","7.166930","172.31.19.54","172.31.19.73","SNMP","82","get-request 1.3.6.1.2.1.1.2.0"
"38","7.167587","172.31.19.73","172.31.19.54","SNMP","100","get-response 1.3.6.1.2.1.1.2.0"
"39","7.170376","172.31.19.54","172.31.19.73","SNMP","106","get-request 1.3.6.1.4.1.253.8.51.8.1.3.0 1.3.6.1.4.1.253.8.51.8.1.1.0"
"40","7.171076","172.31.19.73","172.31.19.54","SNMP","109","get-response 1.3.6.1.4.1.253.8.51.8.1.3.0 1.3.6.1.4.1.253.8.51.8.1.1.0"
"41","7.173781","172.31.19.54","172.31.19.73","SNMP","178","set-request 1.3.6.1.4.1.253.8.51.8.2.1.2.1 1.3.6.1.4.1.253.8.51.8.2.1.3.1 1.3.6.1.4.1.253.8.51.8.2.1.4.1 1.3.6.1.4.1.253.8.51.8.2.1.5.1"
"42","7.174784","172.31.19.73","172.31.19.54","SNMP","178","get-response 1.3.6.1.4.1.253.8.51.8.2.1.2.1 1.3.6.1.4.1.253.8.51.8.2.1.3.1 1.3.6.1.4.1.253.8.51.8.2.1.4.1 1.3.6.1.4.1.253.8.51.8.2.1.5.1"
"43","7.177472","172.31.19.54","172.31.19.73","SNMP","90","set-request 1.3.6.1.4.1.253.8.51.9.2.1.2.10.1"
"44","7.178277","172.31.19.73","172.31.19.54","SNMP","90","get-response 1.3.6.1.4.1.253.8.51.9.2.1.2.10.1"
"45","7.180985","172.31.19.54","172.31.19.73","SNMP","204","set-request 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130101 1.3.6.1.4.1.253.8.51.10.2.1.5.10.14130400 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130102 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130104"
"46","7.182289","172.31.19.73","172.31.19.54","SNMP","204","get-response 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130101 1.3.6.1.4.1.253.8.51.10.2.1.5.10.14130400 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130102 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130104"
"47","7.185004","172.31.19.54","172.31.19.73","SNMP","134","set-request 1.3.6.1.4.1.253.8.51.9.2.1.2.10.1 1.3.6.1.4.1.253.8.51.9.2.1.4.10.1 1.3.6.1.4.1.253.8.51.9.2.1.3.10.1"
"48","8.038018","172.31.19.73","172.31.19.54","SNMP","134","get-response 1.3.6.1.4.1.253.8.51.9.2.1.2.10.1 1.3.6.1.4.1.253.8.51.9.2.1.4.10.1 1.3.6.1.4.1.253.8.51.9.2.1.3.10.1"
"49","8.040918","172.31.19.54","172.31.19.73","SNMP","110","get-request 1.3.6.1.4.1.253.8.51.9.2.1.5.10.1 1.3.6.1.4.1.253.8.51.9.2.1.6.10.1"
"50","8.041933","172.31.19.73","172.31.19.54","SNMP","112","get-response 1.3.6.1.4.1.253.8.51.9.2.1.5.10.1 1.3.6.1.4.1.253.8.51.9.2.1.6.10.1"
"51","8.044633","172.31.19.54","172.31.19.73","SNMP","90","set-request 1.3.6.1.4.1.253.8.51.9.2.1.4.10.1"
"52","8.049245","172.31.19.73","172.31.19.54","SNMP","90","get-response 1.3.6.1.4.1.253.8.51.9.2.1.4.10.1"
"53","22.108940","172.31.19.73","224.0.1.35","SRVLOC","76","Service Request, V1 Transaction ID - 1"
"54","24.309404","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<20>"
"55","24.309870","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<03>"
"56","24.310360","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<00>"
"57","24.310830","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<1f>"
"58","24.311342","172.31.19.73","172.31.19.255","NBNS","142","Registration NB WORKGROUP<1e>"
"59","24.311813","172.31.19.73","172.31.19.255","NBNS","142","Registration NB WORKGROUP<00>"
"60","25.107911","172.31.19.73","224.0.1.35","SRVLOC","76","Service Request, V1 Transaction ID - 1"
"61","25.308297","172.31.19.73","172.31.19.255","BROWSER","257","Host Announcement OKI-15E6BC, Workstation, Server, Print Queue Server, Windows for Workgroups, Potential Browser, Windows 95 or above"
"62","26.308330","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<20>"
"63","26.308762","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<03>"
"64","26.309233","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<00>"
"65","26.309671","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<1f>"
"66","26.310120","172.31.19.73","172.31.19.255","NBNS","142","Registration NB WORKGROUP<1e>"
"67","26.310580","172.31.19.73","172.31.19.255","NBNS","142","Registration NB WORKGROUP<00>"
"68","27.308496","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<20>"
"69","27.308935","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<03>"
"70","27.309374","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<00>"
"71","27.309823","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<1f>"
"72","27.310272","172.31.19.73","172.31.19.255","NBNS","142","Registration NB WORKGROUP<1e>"
"73","27.310722","172.31.19.73","172.31.19.255","NBNS","142","Registration NB WORKGROUP<00>"
"74","28.108414","172.31.19.73","224.0.1.35","SRVLOC","76","Service Request, V1 Transaction ID - 1"
"75","28.308660","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<20>"
"76","28.309102","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<03>"
"77","28.309551","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<00>"
"78","28.309990","172.31.19.73","172.31.19.255","NBNS","142","Registration NB OKI-15E6BC<1f>"
"79","28.310439","172.31.19.73","172.31.19.255","NBNS","142","Registration NB WORKGROUP<1e>"
"80","28.310889","172.31.19.73","172.31.19.255","NBNS","142","Registration NB WORKGROUP<00>"
"81","40.551626","172.31.19.54","172.31.19.73","SNMP","82","get-request 1.3.6.1.2.1.1.3.0"
"82","40.552348","172.31.19.73","172.31.19.54","ICMP","70","Destination unreachable (Port unreachable)"
"83","49.051833","172.31.19.54","172.31.19.73","SNMP","82","get-request 1.3.6.1.2.1.1.3.0"
"84","49.052192","172.31.19.73","172.31.19.54","ICMP","70","Destination unreachable (Port unreachable)"
"85","49.312262","172.31.19.73","172.31.19.255","BROWSER","235","Browser Election Request"
"86","57.552044","172.31.19.54","172.31.19.73","SNMP","82","get-request 1.3.6.1.2.1.1.3.0"
"87","57.552675","172.31.19.73","172.31.19.54","SNMP","84","get-response 1.3.6.1.2.1.1.3.0"
"88","57.555387","172.31.19.54","172.31.19.73","SNMP","82","get-request 1.3.6.1.2.1.1.2.0"
"89","57.556024","172.31.19.73","172.31.19.54","SNMP","100","get-response 1.3.6.1.2.1.1.2.0"
