192.168.184.131	37.130.224.90	1	54	40	32824,80
192.168.184.131	37.130.224.90	2	54	40	32824,80
192.168.184.131	37.130.224.90	3	54	40	32824,80
192.168.184.131	37.130.224.90	4	54	40	32824,80
192.168.184.131	37.130.224.90	5	54	40	32824,80
192.168.184.131	37.130.224.90	6	54	40	32824,80
192.168.184.131	37.130.224.90	7	54	40	32824,80
192.168.184.131	37.130.224.90	8	54	40	32824,80
192.168.184.131	37.130.224.90	9	54	40	32824,80
192.168.184.131	37.130.224.90	10	54	40	32824,80
192.168.184.131	37.130.224.90	11	54	40	32824,80
192.168.184.131	37.130.224.90	12	54	40	32824,80
192.168.184.131	37.130.224.90	13	54	40	32824,80
